3+1分析法,分析方法,,0
分析方法,方法,,0
5W1H1V法,分析方法,,0
A/B test,产品评测、设计方法,,0
亲和图,affinity diagram、相关关系图,,0
affinity diagram,亲和图、相关关系图,"把大量收集到的关于未知事物或不明确的事实的意见或构思等语言资料,按其相互亲和性",0
AL架构,,,0
移动操作系统,,,0
Android,产品分类、移动操作系统,,0
Android开发,产品开发、Android,,0
API,,,0
ASP,,,0
Axure,设计工具、Axure RP,,0
Axure RP,Axure、设计工具,,0
下载,,,0
资源下载,下载,,3
blue print,概念设计、蓝图,,0
brain storming,设计方法、头脑风暴,,0
BRD,设计方法,,0
cognitive walkthrough,认知过程走查,,0
CSS,,,0
CSS3,,,0
Design pattern,交互设计,,0
Design thinking,团队协作,,0
DI,数据分析,,0
Diary Study,设计方法、日记分析,,0
DIV,,,0
Dreamweaver,,,0
Ethnographic Methods,设计方法、人口统计分析,,0
FE,前端,,0
Formative Evaluation,产品评测、形成性评估,,0
Google,网站,,0
GUI,图形界面设计、界面设计,,0
HCD,设计思想,,0
HTML,,,0
HTML5,,,0
IA,,,0
iOS,产品分类,,0
JAVA,,,0
JavaScript,,,0
js,,,0
JSP,,,0
MDA,,,0
Mentro,产品分类,,0
mind mapping,,,0
Mindmanager,设计工具,,0
MRD,设计方法,,0
nABC法,竞争分析,市场产品分析法，Needs，解决方案；Benefits，盈利模式；Competition,0
O2O,产品分类,,0
page layout,IA、页面布局,,0
page template,IA、页面模板,,0
Parallel Design,方法,,0
Participatory Design,方法、参与式设计,,0
pencil sketching,设计工具,,0
Persona,用户建模、设计方法,,0
PHP,,,0
PM,产品经理,,0
PRD,设计方法,"一般企业中会用到。产品需求文档(Product Requirement Document，PRD)的英文简称。是将商业需求文档,BRD和市场需求文档,MRD用更加专业的语言进行描述。",0
PS,,,0
PSD素材,,,0
Python,,,0
QA,评测,,0
RD,后台技术,,0
Ruby,,,0
SEO,设计方法,,0
SQL Server,,,0
storyboard,设计方法,,0
Summative Evaluation,产品评测、总结性评估,,0
TACT,团队协作、工具、策略开发工具,,0
task flow,需求定义、任务流程,,0
UCD,设计思想、设计原则,,0
UE,,,0
UED,设计思想,,0
UI,,,0
UI组件,,,0
UML,,,0
usecase,,,0
user journey,设计方法,,0
User-friendly,用户友好,,0
UX,,,0
VBScript,,,0
VC,商业模式,,0
Visio,设计工具,,0
W3C,,,0
Web2.0,产品分类,,0
Webyog【工具】,,,0
Web标准化,,,0
wiki网站,网站,,0
windows,,,0
案例,,,0
案例分析,,,0
百科站点,,,0
帮助设计,界面设计,,0
报告展示,,,0
背景,,,0
笔刷,,,0
壁纸素材,,,0
扁平化,,,0
扁平化设计,设计思想,,0
标识设计,界面设计,,0
表现,,,0
博客,导航类型、博客站点,,0
博客blog,网站、博客站点、博客,,0
博客站点,博客blog、博客,,0
参与式设计,方法、Participatory Design、设计思想,,0
测试工具,,,0
策略开发工具,工具、TACT,,0
产品分类,,,0
产品分析,,,0
产品沟通,设计方法,,0
产品规划,,,0
产品结构设计,,,0
产品经理,PM,,0
产品开发,,,0
产品流程,,,0
产品评测,,,0
产品设计,,,0
产品市场,,,0
产品展示,,,0
产品站点,,,0
产业资讯,,,4
沉浸式体验,,,0
触感,用户体验,,0
创新设计,,,0
创意,,,0
代码编辑器,,,0
导购设计,应用,,0
导航设计,IA,,0
导航网站,导航站点,,0
导航站点,网站、导航网站,,2
低保真原型,用户研究、设计方法,,0
电商站点,,,0
电子商务,,,0
电子阅读,应用,,0
电子杂志,,,0
动态交互,,,0
动效设计,界面设计,,0
多媒体设计,,,0
方法,,,0
费茨设计,,,0
分享站点,,,0
封闭测试,设计方法、产品评测,,0
概念,,,0
概念模型,设计方法,,0
概念设计,,,0
高保真原型,设计方法,,0
个人站点,,,0
工具,,,3
工具导航站点,,,0
工具下载,导航类型、工具,,0
工具站点,网站、工具,,0
公关,,,0
功能设计,,,0
故事板,用户研究,,0
观察法,用户研究,,0
官方网站,,,0
规范,,,0
行为,,,0
行业讲座,,,0
行业评论,,,0
核心路径法,,,0
后端,,,0
后端编程,,,0
后台技术,RD,,0
互联网,,,0
互联网产品,,,0
互联网创业,,,0
互联网监测研究,,,0
互联网品牌营销,,,0
互联网资讯,网站类型,,0
网站类型,,,0
话题讨论,,,0
灰度测试,,与A/B测试比较相似,0
会议,,,0
活动站点,,,0
技术开发,,,0
技术门户,,,0
技术支持,,,0
价值增值设计,,,0
交叉分析,,,0
交互,,,0
交互路径,交互设计,,0
交互设计,,,2
交互设计师,,,0
焦点小组,用户研究,,0
教程,形式词汇,,0
教程导航站点,,,0
